"DistinguishedName","DNSHostName","Enabled","Name","ObjectClass","ObjectGUID","SamAccountName","SID","UserPrincipalName"
"CN=COD40,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD40.techlab.br","True","COD40","computer","1a251d7d-ba73-4de6-afaa-f561e80a1686","COD40$","S-1-5-21-925037465-2226837016-4004537459-22239",
"CN=COD99,OU=Computadores,OU=Comercial,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD99.techlab.br","True","COD99","computer","50289a6e-d41a-4947-9738-88933c2fbae3","COD99$","S-1-5-21-925037465-2226837016-4004537459-20736",
"CN=COD100,OU=Computadores,OU=Comercial,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD100.techlab.br","True","COD100","computer","a8179f70-99bd-4b2f-b903-d520005c2dad","COD100$","S-1-5-21-925037465-2226837016-4004537459-22248",
"CN=COD101,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD101.techlab.br","True","COD101","computer","ddeb1486-14d3-4830-a0d2-c026b7f384fe","COD101$","S-1-5-21-925037465-2226837016-4004537459-22253",
"CN=COD102,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD102.techlab.br","True","COD102","computer","b9895a93-ba9a-4be3-8260-8f4c59c407c0","COD102$","S-1-5-21-925037465-2226837016-4004537459-20743",
"CN=COD87,OU=Computadores,OU=Compliance ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD87.techlab.br","True","COD87","computer","27b351ac-9ca1-45d4-af85-f16d4164e979","COD87$","S-1-5-21-925037465-2226837016-4004537459-22254",
"CN=COD103,OU=Computadores,OU=Diretoria,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD103.techlab.br","False","COD103","computer","c496db09-6eb7-4812-af8e-35d5c9e05250","COD103$","S-1-5-21-925037465-2226837016-4004537459-22256",
"CN=COD104,OU=Computadores,OU=Desenvolvimento,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD104.techlab.br","True","COD104","computer","eb413372-190c-4855-b01b-76059c6516a0","COD104$","S-1-5-21-925037465-2226837016-4004537459-20747",
"CN=COD106,OU=Computadores,OU=Diretoria,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD106.techlab.br","False","COD106","computer","2ae674ed-d889-43d7-b743-985b3762e3cb","COD106$","S-1-5-21-925037465-2226837016-4004537459-22258",
"CN=COD111,OU=Computadores,OU=Comercial,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD111.techlab.br","True","COD111","computer","9efe9bf6-a335-428f-9ca7-e16a74c3771b","COD111$","S-1-5-21-925037465-2226837016-4004537459-20764",
"CN=COD108,OU=Computadores,OU=Compliance ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD108.techlab.br","True","COD108","computer","b0ad9b7c-b9b8-44f0-b909-2db4b1eac987","COD108$","S-1-5-21-925037465-2226837016-4004537459-20765",
"CN=COD107,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD107.techlab.br","True","COD107","computer","a43ed8b1-6a63-4bc0-a686-26aa56064cb6","COD107$","S-1-5-21-925037465-2226837016-4004537459-22263",
